segment_id,modality,reason
ZSCuKBv341w_0214,video,no_frames
NtASULb90G0_0219,video,no_frames
Nw1v_gaGhrY_252,video,no_frames
Nw1v_gaGhrY_247,video,no_frames
Cdr_3tdg7_s_091,video,no_frames
SByoQciTTxw_163,video,no_frames
kqAHOhB4hD0_0198,video,no_frames
kqAHOhB4hD0_0196,video,no_frames
-JeIdPld-tI_0074,video,no_frames
-JeIdPld-tI_0108,video,no_frames
-JeIdPld-tI_0155,video,no_frames
IDbIn-CMM50_0030,video,no_frames
UAI2vveJdCc_0109,video,no_frames
sL8SM1jZAgw_0038,video,no_frames
UAI2vveJdCc_0120,video,no_frames
sL8SM1jZAgw_0123,video,no_frames
sL8SM1jZAgw_0160,video,no_frames
XBTmE1OrZJU_0025,video,no_frames
XBTmE1OrZJU_0040,video,no_frames
XBTmE1OrZJU_0235,video,no_frames
XBTmE1OrZJU_0247,video,no_frames
XBTmE1OrZJU_0255,video,no_frames
XBTmE1OrZJU_0262,video,no_frames
kqAHOhB4hD0_0196,video,no_frames
kqAHOhB4hD0_0198,video,no_frames
Vu3WgixqLok_0049,video,no_frames
Vu3WgixqLok_0068,video,no_frames
Vu3WgixqLok_0090,video,no_frames
Vu3WgixqLok_0097,video,no_frames
Vu3WgixqLok_0103,video,no_frames
Vu3WgixqLok_0110,video,no_frames
EIv_Gz61jos_0121,video,no_frames
mpYaokwgSp4_0096,video,no_frames
AtMXiriz6Zs_0073,video,no_frames
WXfnqzU-R84_0011,video,no_frames
WXfnqzU-R84_0060,video,no_frames
q2d9SyUekmw_0043,video,no_frames
q2d9SyUekmw_0048,video,no_frames
q2d9SyUekmw_0055,video,no_frames
q2d9SyUekmw_0057,video,no_frames
q2d9SyUekmw_0096,video,no_frames
q2d9SyUekmw_0101,video,no_frames
q2d9SyUekmw_0103,video,no_frames
q2d9SyUekmw_0113,video,no_frames
q2d9SyUekmw_0115,video,no_frames
q2d9SyUekmw_0137,video,no_frames
q2d9SyUekmw_0143,video,no_frames
q2d9SyUekmw_0159,video,no_frames
q2d9SyUekmw_0190,video,no_frames
q2d9SyUekmw_0193,video,no_frames
q2d9SyUekmw_0197,video,no_frames
q2d9SyUekmw_0195,video,no_frames
q2d9SyUekmw_0204,video,no_frames
q2d9SyUekmw_0239,video,no_frames
q2d9SyUekmw_0241,video,no_frames
q2d9SyUekmw_0237,video,no_frames
q2d9SyUekmw_0242,video,no_frames
q2d9SyUekmw_0251,video,no_frames
q2d9SyUekmw_0246,video,no_frames
q2d9SyUekmw_0252,video,no_frames
q2d9SyUekmw_0255,video,no_frames
q2d9SyUekmw_0264,video,no_frames
q2d9SyUekmw_0265,video,no_frames
q2d9SyUekmw_0267,video,no_frames
q2d9SyUekmw_0290,video,no_frames
q2d9SyUekmw_0301,video,no_frames
q2d9SyUekmw_0386,video,no_frames
q2d9SyUekmw_0387,video,no_frames
q2d9SyUekmw_0384,video,no_frames
L-HoQB2gz6Y_0026,video,no_frames
Lk1azqQx-pA_0054,video,no_frames
Lk1azqQx-pA_0073,video,no_frames
Lk1azqQx-pA_0083,video,no_frames
Lk1azqQx-pA_0112,video,no_frames
Lk1azqQx-pA_0117,video,no_frames
OI9aJEFrEDk_0155,video,no_frames
OI9aJEFrEDk_0156,video,no_frames
6et-kaSbBD4_0131,video,no_frames
