video_id,segment_count
--6VaQ-Y0R4,154
-0KVHlRomHw,421
-0k881ES7Bo,69
-1SnmXvrDeI,171
-1esuJrbV0w,185
-2-2U8TxQIA,384
-2DKPhdxv0s,24
-2L2NHTyylU,155
-2TDj_37Wig,187
-2YUuBuMTPw,283
-32fj9lhNVA,307
-35sQlQ8tYc,66
-3qdllDsGm4,300
-3vSkHAHIs4,31
-4i17fjvXU0,126
-6fb49zu6L8,178
-7gvQck95iE,113
-7kgbS-voI8,302
-7xyoar-iuY,83
-9k7ochhfgk,50
-Ac3MwMrIVU,477
-BmFkoOUmbw,147
-CXBSpVtuxI,191
-Cqv-NZNnTg,107
-DHp4Oo9t6Q,96
-DoH9IAZIno,148
-E21OifvfeU,328
-FGfC3W4oOw,277
-FT8a8p3z9U,47
-Fqq1HunDQU,185
-G8Z9GGS_9g,83
-GDJdCShTx8,287
-H2jD_CdWcg,332
-J7RZaq9Dh0,210
-K8JxUueLPM,165
-KBvwO7AFqE,110
-KKPYQaYwR4,148
-Kquuudw71w,95
-LI4OfaPfak,174
-LJovum2s8s,63
-M8qyok42xo,233
-MFOOEKJfV8,82
-NtrG0YS_88,146
-Oau7LNDc-M,90
-PNEAWbpm5I,253
-Q6JVvuqf3g,171
-QC1f9FWgbo,163
-QhWk2MUJck,104
-Qk-iS1mj4A,85
-QqjBVtGKJI,96
-RFibmMStJU,138
-RlaY8a1v-Q,91
-T9z6jzxyNI,74
-Thqk4HmXr4,209
-Tpdvx17tWY,77
-UNakQf2XGM,97
-VP7-2QlnGs,308
-VTBXAMNH1E,302
-VpYEthEe-g,60
-WkGbYL9RyA,173
-WqjVTgabyk,146
-Xxftw5Q3UM,185
-YA-bvYIKwA,49
-YeY8umejrU,80
-YmhjI_OhMg,211
-_2tO8moB-E,158
-_4WaraE5iE,148
-_cvo7gHzh0,12
-_q4_W--L4c,61
-a6fAA027Eg,219
-aGNRV0dfsQ,95
-aIEzH2SJZ4,228
-aXjgiQXfCs,341
-bvaAbVGAoU,95
-cQvtc61Zys,42
-cTk_QwFWq0,173
-caN5IQ7dYo,343
-cgOhkdW4V0,162
-d7UarVepK4,173
-dX6vIpp55M,11
-dvPBcRDHZ0,395
-elNcbcFVJs,145
-fcud5SNqDU,485
-fs9eAOAUSY,146
-ftMyrUEh1M,71
-gnWIzNQaZE,183
-hI1dSpHs8Q,192
-hSv4_VFrcU,354
-hbEafAUk8o,110
-jWrQn955es,149
-jg39vuiURs,167
-kB1Up5k41Y,132
-kH-xCcKEBM,8
-kR7GHh9sDU,306
-lLVXpd7Uiw,158
-m7_s7J4OPw,195
-n-gO1EzjHI,92
-nYC8vqheQU,252
-ndye6C4cf0,134
-oRh6gElnhM,178
-oebw2Qf7Lc,73
-q5YA5zAo-Q,26
-r-BBXIDDuc,94
-r5REjbso6A,87
-rMDALy5i9s,320
-rTvbaSrxKc,239
-rgzYO2kLgw,114
-sUb3YtRMsA,169
-tLJjoiZ1Fc,98
-tR1h91TSKc,279
-tgNvc6K7CQ,66
-uBI4APF9M4,348
-w88DcCyLqo,545
-xGeoN4noLg,274
-xsJ6-NDZKY,465
-yULF4H6ZVc,100
-zkq6CAbBnI,3
0-VJ1G9wsJQ,123
00JnzwC2zdc,227
00kHYvlyGU8,112
0104VRD5Qhk,414
01TVhX7ilAw,144
01maU3WmSSQ,272
01nSKEB-kAg,120
020biWSQh8M,130
03YgUZQx3dc,129
042QcCeu2a8,48
04Vdesa_VlI,35
04_x63lui6o,102
05pTayi2HZI,180
066Ep3LJN0c,110
06Ib4CZ58Xg,79
06ilbJ0VuMk,86
071AJxJ9pHM,35
074ihDk8ii8,136
0797LSOQa6E,110
07QQrAEOOSg,218
083lFeTFevA,131
08EBJ_kTwMw,22
08LomM6IhI0,110
08Y1tYmmVEQ,91
09QyRx79tSg,424
0AMC7Xr3sZ4,214
0AO2XiTVeBo,107
0AP2UdOepa4,232
0BB5DKnw6ao,11
0BR2LplNO7k,71
0EXgciZoNXg,99
0EmEUqgrOMU,157
0Ewam7zfAtQ,92
0EzGb8JmjMY,68
0FVGeh08zFc,136
0F_bMtJEtFg,59
0G87FCjHzmo,188
0GP5Z7QO1Jc,324
0HXJVYeljOk,162
0HZPyhnErFo,542
0LjRHRDOjTk,79
0LtiHuLHxLQ,196
0NNop7gKpQg,160
0NeIA91Xh4U,445
0OIPGl6vZHU,92
0Odf4wJEoAU,418
0OkbJcdm-Yg,53
0RATxRtjGdk,187
0SKg5O13010,377
0SOh4a9xoWw,109
0ScsKysPrDI,175
0T6mHuBQ4rw,108
0TTZdYckNac,132
0VNQjE0Jc2M,85
0VSV99PXbbw,130
0X4HyA9l_7U,110
0YAeiIsbvZE,322
0YPV_aQhB2I,3
0YQuA0GOGq8,69
0Z0jpDjqgeo,326
0_3P1hcr6QQ,76
0_d6GKg75cQ,92
0_oKJdU_yMQ,306
0aQNh-CejyE,201
0avh01FU19Y,127
0bNx9HloeXU,300
0c7i7SRthrA,150
0cF-J1M2eIs,401
0eah_cm2VcQ,89
0en6s3i_WPA,495
0fnatggZ9Yo,106
0i4s9pkeWHw,409
0iBgz3jwZZU,98
0iJQjFo09JM,102
0itVEp_TOW8,132
0jtkUYluzJw,125
0kchbnqFf7E,116
0mUQZ6Zzw-U,19
0n01rxPSgeQ,140
0oSfzzvuB9E,93
0pQG9fSfc0g,151
0pyv7v5S6Uc,389
0qWhYM3MRtI,393
0ti98bgCNT0,100
0u1F30HensE,119
0u3g-vH6bXc,176
0vK9UHbj3cQ,65
0vYPM8mBB8o,24
0vdXf1iR3PA,350
0x-5g3fBFrg,16
0xHjvKLlTDg,132
0xh3cDS5H80,114
0y_XvXj58Bo,116
0zLIgpajw30,196
0zgAr9tJIVE,169
10zauifjLsA,209
11UvkqSsTGU,311
13eU_QPMZ8s,297
14adQqflgMU,113
14i8lLJ0s5U,41
14qQ5B7BjpQ,208
14x01TgnCQg,251
15GVSo6JARE,65
16yLb_rAQkk,36
177Ja1aFlMY,128
18jotx-vWak,101
19gdBP1-PTg,43
1ADivsGwJ64,289
1AbG70fho5k,190
1AzeuSJ433Q,132
1B8Z4XXoYFY,81
1EZUAM9NI2Q,185
1EcmBMXodBE,109
1GifgmoL-ZA,85
1H8C0acqHbg,278
1HRWV4Y83uw,114
1Hg1So0QNxU,62
1Ho6Loq4zsk,70
1HwiNTiz1zA,44
1HzXHoj8Lvs,340
1I72hYDguEU,92
1IMoGo5fs1Y,207
1ISDNo2PoXk,20
1IkNvUaCwIU,186
1Ju4U9aYKoE,256
1K1RWOYH2YQ,83
1KQAEw4DJmA,280
1MJxT60j0zI,285
1MPWNO7KFvs,155
1MrTKuOOe54,44
1NB9gxvyeO4,132
1Nc0eofMazA,248
1O8zaIH7rMI,63
1PkO4tUcUOk,164
1PqWCyfJp84,296
1RzgU94sFw4,203
1SagbHjYomc,79
1SgdmBH56RA,93
1UEfIWrlp1Y,266
1VVN0fU5rUc,241
1Vif2iLsN_o,183
1W2oErWZ3xA,78
1WuX_52ETEM,339
1WvS4RjnRdA,318
1XSBnIU_5ps,323
1Xd0mD56UgQ,132
1Xrgy17zsrU,16
1ZTFLAXUDjY,110
1ZtA5iIYgrw,106
1aAsjLeaQP0,370
1b0IfsiEKJg,72
1cbmBFquSWA,79
1dOmwcm8VGU,358
1fWAzA_Lp_g,199
1fnIq_6rkwM,268
1gOkjr5tzK8,108
1h1iSrtI40k,46
1hNju_BdoQ4,75
1i2hqEUaoN4,174
1i7fiaevKE8,364
1iUEUe4ecAc,356
1ixwjU-92Iw,247
1j1uaRZSgL4,98
1k1lOINq51c,236
1kJ4HVEMAbM,145
1kVGb9eOeOk,750
1km_uxAUD9k,73
1lpD0MBmFzw,19
1lxoJyk3G4c,110
1m43Eu2ADWE,150
1mJqZ-ciAD0,84
1mV_2aYYBlA,132
1mh_Gktlg1I,162
1nxSQY6Vs30,89
1osZvX-5Aa0,64
1p8eIAVPuTs,220
1piYgZ03uwo,239
1q-cJoWBQdQ,18
1qmjr_NwP80,237
1r-Anrpzcwk,214
1rR4StUJKrE,35
1rVPIiWyqeI,259
1s6Hi_FU0R4,227
1sq_GJiGckM,594
1swA48BdolU,115
1tu-ghqRr68,281
1uAn7Xlc8I8,146
1ucYVmihfvY,262
1vziIBWjYx0,83
1wRs-HELJng,72
1yAsejSQaGM,54
1yknkdjMzA0,546
1z2Dy3XKx48,150
2-A6ykI3OmM,656
202-XaS1ack,182
21V7RzAgXzo,257
22LjM_9hmmA,80
22z9jvY3lWY,212
23x2fQY0WJU,309
23x6BBqyhvc,184
241jzVFbWKc,10
24bIPq5lk9o,57
24nXaVxNYI4,87
25ag8eBfn1U,159
25cE4GtUfFY,180
29ZK5SLWCHw,55
2A1KjGTT7R8,157
2AZBjlsdR1o,305
2Au_-eooZB4,22
2B-HwWqRj0w,79
2BLfYEB9U1M,104
2CH8CMEPwQs,116
2CbfhMh9tnM,221
2D7zzW7K4aI,69
2D8QKeYo0do,212
2DYNCQ9GLm4,564
2DnnPl820Ik,60
2Dth-LCJkt8,83
2Eo2Ra9EHKg,84
2EuPTn2Ngf8,177
2EwqzHsSEZY,132
2Fxb0DuBAlE,93
2GJ0rufbnBg,347
2I99A4Hnb8I,152
2ICfL-Vq9bE,189
2Ic5jlY-ZE4,174
2Iw5cUPtSdA,108
2JmGQI8Yq8g,105
2JmhAHx084o,157
2KFh547iVNs,215
2KGeOuD8TfQ,142
2KTdFycGxCE,142
2KgVDFObHaE,139
2LGQQLR7AG0,234
2MFW5ePWfl8,89
2MfOIM9M_jc,285
2Mk8kOTyO4k,242
2Mpd4A3BxPo,326
2N3e6RrG0Gc,162
2O-bbsB8tvU,95
2O2wgY5gLjY,190
2OXBP-I0nyY,170
2OrfQGJqvks,66
2PVHg1BcKj4,325
2PY_QFGXnuA,161
2Q1wiQw9bL8,221
2RmH0ppkuzA,24
2S8GeNmbRsk,390
2SbtaqwQMgg,36
2SdEWClh4lc,101
2SmvuAcg0H8,60
2SpNlrZPeYM,166
2TSLH-aONdo,213
2TzIdpo6rTc,207
2URdIcUgW-c,275
2V4w-96Cnuo,220
2VajX4nxCqM,27
2VnGDfp2KJg,151
2VyiLUgV6qo,180
2W8nb35FE_w,239
2WUoDOacRbg,121
2XC2IZCsukw,112
2XoqttCWIMY,268
2Y02D80R0GU,22
2Y4_AzkQvK0,232
2ZA2IkmvNFk,108
2ZJwbfNxCys,369
2ZV7CyasAjE,73
2_AKPRx0jwQ,285
2_S8-0UfkUA,529
2aoiCqcOYtg,5
2bzaQVRaEBw,108
2cumygaZuH4,56
