video_id,segment_total,vid_done,vid_pct,aud_done,aud_pct,both_done,both_pct
-Oau7LNDc-M,90,90,100.0,90,100.0,90,100.0
503kxoS79zc,239,239,100.0,239,100.0,239,100.0
68UYBhIte3U,5,5,100.0,5,100.0,5,100.0
aFCyO05Tiss,242,242,100.0,200,82.64,200,82.64
UftOZyGaGws,164,164,100.0,128,78.05,128,78.05
9Ue2bY09_lU,624,368,58.97,361,57.85,361,57.85
nEP-_Ogi1bA,77,77,100.0,41,53.25,41,53.25
3tQ6YhtF0Xk,355,351,98.87,177,49.86,177,49.86
54hvX5uWu9A,522,220,42.15,220,42.15,220,42.15
HeJQBW_vyLQ,119,1,0.84,1,0.84,1,0.84
--1Hln74Ano,111,0,0.0,0,0.0,0,0.0
--6VaQ-Y0R4,154,0,0.0,0,0.0,0,0.0
-0KVHlRomHw,421,0,0.0,0,0.0,0,0.0
-0k881ES7Bo,69,69,100.0,0,0.0,0,0.0
-1SnmXvrDeI,171,0,0.0,0,0.0,0,0.0
-1esuJrbV0w,185,185,100.0,0,0.0,0,0.0
-2-2U8TxQIA,384,0,0.0,0,0.0,0,0.0
-2DKPhdxv0s,24,24,100.0,0,0.0,0,0.0
-2L2NHTyylU,155,155,100.0,0,0.0,0,0.0
-2TDj_37Wig,187,0,0.0,0,0.0,0,0.0
-2YUuBuMTPw,283,283,100.0,0,0.0,0,0.0
-32fj9lhNVA,307,307,100.0,0,0.0,0,0.0
-35sQlQ8tYc,66,66,100.0,0,0.0,0,0.0
-3qdllDsGm4,300,0,0.0,0,0.0,0,0.0
-3vSkHAHIs4,31,15,48.39,0,0.0,0,0.0
-4i17fjvXU0,126,126,100.0,0,0.0,0,0.0
-6fb49zu6L8,178,0,0.0,0,0.0,0,0.0
-7gvQck95iE,113,113,100.0,0,0.0,0,0.0
-7kgbS-voI8,302,302,100.0,0,0.0,0,0.0
-7xyoar-iuY,83,0,0.0,0,0.0,0,0.0
-9k7ochhfgk,50,0,0.0,0,0.0,0,0.0
-AUvaFyiYd0,75,0,0.0,0,0.0,0,0.0
-Ac3MwMrIVU,477,477,100.0,0,0.0,0,0.0
-BmFkoOUmbw,147,0,0.0,0,0.0,0,0.0
-CXBSpVtuxI,191,0,0.0,0,0.0,0,0.0
-Cqv-NZNnTg,107,107,100.0,0,0.0,0,0.0
-DHp4Oo9t6Q,96,0,0.0,0,0.0,0,0.0
-DoH9IAZIno,148,148,100.0,0,0.0,0,0.0
-E21OifvfeU,328,0,0.0,0,0.0,0,0.0
-EhGbOVsHqQ,145,0,0.0,0,0.0,0,0.0
-FGfC3W4oOw,277,0,0.0,0,0.0,0,0.0
-FT8a8p3z9U,47,47,100.0,0,0.0,0,0.0
-Fqq1HunDQU,185,185,100.0,0,0.0,0,0.0
-G8Z9GGS_9g,83,83,100.0,0,0.0,0,0.0
-GDJdCShTx8,287,0,0.0,0,0.0,0,0.0
-H2jD_CdWcg,332,0,0.0,0,0.0,0,0.0
-IEF9gWQ2og,106,0,0.0,0,0.0,0,0.0
-IRn1k4QTXc,175,0,0.0,0,0.0,0,0.0
-J7RZaq9Dh0,210,0,0.0,0,0.0,0,0.0
-JCtviTCXEw,356,0,0.0,0,0.0,0,0.0
-JeIdPld-tI,242,239,98.76,0,0.0,0,0.0
-K8JxUueLPM,165,0,0.0,0,0.0,0,0.0
-KBvwO7AFqE,110,0,0.0,0,0.0,0,0.0
-KKPYQaYwR4,148,148,100.0,0,0.0,0,0.0
-Kquuudw71w,95,95,100.0,0,0.0,0,0.0
-LI4OfaPfak,174,174,100.0,0,0.0,0,0.0
-LJovum2s8s,63,63,100.0,0,0.0,0,0.0
-M8qyok42xo,233,233,100.0,0,0.0,0,0.0
-MFOOEKJfV8,82,0,0.0,0,0.0,0,0.0
-NtrG0YS_88,146,0,0.0,0,0.0,0,0.0
-OLiKp_QLp4,160,0,0.0,0,0.0,0,0.0
-PNEAWbpm5I,253,0,0.0,0,0.0,0,0.0
-Q6JVvuqf3g,171,0,0.0,0,0.0,0,0.0
-QC1f9FWgbo,163,0,0.0,0,0.0,0,0.0
-QhWk2MUJck,104,0,0.0,0,0.0,0,0.0
-Qk-iS1mj4A,85,38,44.71,0,0.0,0,0.0
-QqjBVtGKJI,96,96,100.0,0,0.0,0,0.0
-RFibmMStJU,138,138,100.0,0,0.0,0,0.0
-RlaY8a1v-Q,91,91,100.0,0,0.0,0,0.0
-SKC_rvEXrY,155,0,0.0,0,0.0,0,0.0
-T9z6jzxyNI,74,0,0.0,0,0.0,0,0.0
-Thqk4HmXr4,209,209,100.0,0,0.0,0,0.0
-Tpdvx17tWY,77,0,0.0,0,0.0,0,0.0
-UNakQf2XGM,97,97,100.0,0,0.0,0,0.0
-VP7-2QlnGs,308,0,0.0,0,0.0,0,0.0
-VTBXAMNH1E,302,0,0.0,0,0.0,0,0.0
-VpYEthEe-g,60,0,0.0,0,0.0,0,0.0
-VxoF-s8fDU,71,71,100.0,0,0.0,0,0.0
-WkGbYL9RyA,173,0,0.0,0,0.0,0,0.0
-WqjVTgabyk,146,0,0.0,0,0.0,0,0.0
-Xxftw5Q3UM,185,0,0.0,0,0.0,0,0.0
-YA-bvYIKwA,49,0,0.0,0,0.0,0,0.0
-YeY8umejrU,80,0,0.0,0,0.0,0,0.0
-YmhjI_OhMg,211,211,100.0,0,0.0,0,0.0
-_2tO8moB-E,158,0,0.0,0,0.0,0,0.0
-_4WaraE5iE,148,0,0.0,0,0.0,0,0.0
-_B0hj6Om_Q,224,118,52.68,0,0.0,0,0.0
-_cvo7gHzh0,12,12,100.0,0,0.0,0,0.0
-_q4_W--L4c,61,61,100.0,0,0.0,0,0.0
-a6fAA027Eg,219,219,100.0,0,0.0,0,0.0
-aGNRV0dfsQ,95,0,0.0,0,0.0,0,0.0
-aIEzH2SJZ4,228,0,0.0,0,0.0,0,0.0
-aXjgiQXfCs,341,0,0.0,0,0.0,0,0.0
-bvaAbVGAoU,95,0,0.0,0,0.0,0,0.0
-cQvtc61Zys,42,42,100.0,0,0.0,0,0.0
-cTk_QwFWq0,173,173,100.0,0,0.0,0,0.0
-caN5IQ7dYo,343,0,0.0,0,0.0,0,0.0
-cgOhkdW4V0,162,0,0.0,0,0.0,0,0.0
-d7UarVepK4,173,0,0.0,0,0.0,0,0.0
-dX6vIpp55M,11,0,0.0,0,0.0,0,0.0
-dvPBcRDHZ0,395,0,0.0,0,0.0,0,0.0
-elNcbcFVJs,145,145,100.0,0,0.0,0,0.0
-fcud5SNqDU,485,0,0.0,0,0.0,0,0.0
-fs9eAOAUSY,146,146,100.0,0,0.0,0,0.0
-ftMyrUEh1M,71,71,100.0,0,0.0,0,0.0
-gnWIzNQaZE,183,92,50.27,0,0.0,0,0.0
-hI1dSpHs8Q,192,192,100.0,0,0.0,0,0.0
-hSv4_VFrcU,354,354,100.0,0,0.0,0,0.0
-hbEafAUk8o,110,110,100.0,0,0.0,0,0.0
-jWrQn955es,149,149,100.0,0,0.0,0,0.0
-jg39vuiURs,167,167,100.0,0,0.0,0,0.0
-kB1Up5k41Y,132,0,0.0,0,0.0,0,0.0
-kH-xCcKEBM,8,0,0.0,0,0.0,0,0.0
-kR7GHh9sDU,306,306,100.0,0,0.0,0,0.0
-lLVXpd7Uiw,158,158,100.0,0,0.0,0,0.0
-m7_s7J4OPw,195,195,100.0,0,0.0,0,0.0
-n-gO1EzjHI,92,0,0.0,0,0.0,0,0.0
-nYC8vqheQU,252,0,0.0,0,0.0,0,0.0
-ndye6C4cf0,134,134,100.0,0,0.0,0,0.0
-o0bZ3QigVI,417,0,0.0,0,0.0,0,0.0
-oGQ4WRRMTY,103,103,100.0,0,0.0,0,0.0
-oRh6gElnhM,178,178,100.0,0,0.0,0,0.0
-oebw2Qf7Lc,73,73,100.0,0,0.0,0,0.0
-q5YA5zAo-Q,26,26,100.0,0,0.0,0,0.0
-r-BBXIDDuc,94,94,100.0,0,0.0,0,0.0
-r5REjbso6A,87,87,100.0,0,0.0,0,0.0
-rMDALy5i9s,320,320,100.0,0,0.0,0,0.0
-rTvbaSrxKc,239,239,100.0,0,0.0,0,0.0
-rgzYO2kLgw,114,114,100.0,0,0.0,0,0.0
-sUb3YtRMsA,169,0,0.0,0,0.0,0,0.0
-tLJjoiZ1Fc,98,0,0.0,0,0.0,0,0.0
-tR1h91TSKc,279,279,100.0,0,0.0,0,0.0
-tgNvc6K7CQ,66,0,0.0,0,0.0,0,0.0
-uBI4APF9M4,348,0,0.0,0,0.0,0,0.0
-w88DcCyLqo,545,545,100.0,0,0.0,0,0.0
-xGeoN4noLg,274,274,100.0,0,0.0,0,0.0
-xsJ6-NDZKY,465,0,0.0,0,0.0,0,0.0
-yULF4H6ZVc,100,100,100.0,0,0.0,0,0.0
-zkq6CAbBnI,3,3,100.0,0,0.0,0,0.0
0-VJ1G9wsJQ,123,0,0.0,0,0.0,0,0.0
00JnzwC2zdc,227,0,0.0,0,0.0,0,0.0
00kHYvlyGU8,112,0,0.0,0,0.0,0,0.0
0104VRD5Qhk,414,414,100.0,0,0.0,0,0.0
01TVhX7ilAw,144,72,50.0,0,0.0,0,0.0
01maU3WmSSQ,272,0,0.0,0,0.0,0,0.0
01nSKEB-kAg,120,120,100.0,0,0.0,0,0.0
020biWSQh8M,130,130,100.0,0,0.0,0,0.0
03YgUZQx3dc,129,129,100.0,0,0.0,0,0.0
042QcCeu2a8,48,0,0.0,0,0.0,0,0.0
04Vdesa_VlI,35,35,100.0,0,0.0,0,0.0
04_x63lui6o,102,0,0.0,0,0.0,0,0.0
05pTayi2HZI,180,0,0.0,0,0.0,0,0.0
066Ep3LJN0c,110,0,0.0,0,0.0,0,0.0
06Ib4CZ58Xg,79,0,0.0,0,0.0,0,0.0
06WbuG67SSc,114,0,0.0,0,0.0,0,0.0
06ilbJ0VuMk,86,0,0.0,0,0.0,0,0.0
071AJxJ9pHM,35,35,100.0,0,0.0,0,0.0
074ihDk8ii8,136,0,0.0,0,0.0,0,0.0
0797LSOQa6E,110,0,0.0,0,0.0,0,0.0
07QQrAEOOSg,218,218,100.0,0,0.0,0,0.0
083lFeTFevA,131,131,100.0,0,0.0,0,0.0
08EBJ_kTwMw,22,0,0.0,0,0.0,0,0.0
08LomM6IhI0,110,0,0.0,0,0.0,0,0.0
08Y1tYmmVEQ,91,91,100.0,0,0.0,0,0.0
09QyRx79tSg,424,0,0.0,0,0.0,0,0.0
0AMC7Xr3sZ4,214,214,100.0,0,0.0,0,0.0
0AO2XiTVeBo,107,107,100.0,0,0.0,0,0.0
0AP2UdOepa4,232,232,100.0,0,0.0,0,0.0
0BB5DKnw6ao,11,11,100.0,0,0.0,0,0.0
0BR2LplNO7k,71,71,100.0,0,0.0,0,0.0
0D9vp8y66xY,203,0,0.0,0,0.0,0,0.0
0EXgciZoNXg,99,0,0.0,0,0.0,0,0.0
0EmEUqgrOMU,157,157,100.0,0,0.0,0,0.0
0Ewam7zfAtQ,92,92,100.0,0,0.0,0,0.0
0EzGb8JmjMY,68,0,0.0,0,0.0,0,0.0
0FVGeh08zFc,136,0,0.0,0,0.0,0,0.0
0F_bMtJEtFg,59,59,100.0,0,0.0,0,0.0
0G87FCjHzmo,188,0,0.0,0,0.0,0,0.0
0GP5Z7QO1Jc,324,162,50.0,0,0.0,0,0.0
0HXJVYeljOk,162,162,100.0,0,0.0,0,0.0
