video_id,pt_count
Oy0zq8YzY9w,1038
TAwFABqV7JQ,859
OUzW2ssrgtU,790
9Ue2bY09_lU,729
k_092RecuvQ,728
UHdgiLXCuJc,693
S-u_e_D7grU,646
amZ3fANPGIE,637
m3l179Avv08,622
tv2nyeQdCl8,613
_FBO5F1P_0Y,611
_-V9IelOF2Y,592
CZI2HKEGO14,591
3hKZm_6JE-o,582
axkVm088tG0,565
UVdEzIlScp4,560
h_n47IOmWSs,560
toVowg8TprI,560
_YxDtbsZdrg,551
-w88DcCyLqo,545
0HZPyhnErFo,542
_O4xvrbQ_uw,535
N7GiUYYJh7w,529
3tQ6YhtF0Xk,528
Xenstc6mHWs,525
SdcCmALImUI,522
k5f-L4jWvUY,521
R3JenhhtEus,520
hmL8al8twIE,519
6x7kwl63TZM,518
JE6GiQR-BZ8,517
U7tBSTzrZig,516
LoDF4iN2QoE,504
ykDwAbEn1O0,499
aweBy8W97gY,498
0en6s3i_WPA,495
nclzBtV4hh0,488
HL0TnWXLnzs,486
GoFmhY0q7Uw,484
kmse3JoDeeg,483
aa4vdIThOYY,482
503kxoS79zc,478
-Ac3MwMrIVU,477
g9Id_Rb4H2k,474
y-2E8iho3YY,473
CjBQ_TPG868,470
hEcL9UwTy-s,469
XJfksdKyMEw,467
j6nSDQu1csE,465
OPU5zBjO0g4,463
ZLcyBj-ZuIM,461
yXFVH4JBh_4,461
i-5rdnmcod0,459
an1xCA5-UHw,455
xJ7OrD9DINU,454
y-k8p2UFu9c,453
asp7LRrLoec,446
INuwqHzBFC0,445
xLhz4U5s-bA,444
aFCyO05Tiss,442
jWklGswHJIY,442
rO5A6pg1XXo,441
54hvX5uWu9A,440
5JpepqoyxSA,440
DMmkbB8lKuE,440
ay_ncJtgn-k,440
8T9xavd7Y0Y,438
pE0AYqWzfUc,437
CU0p5pEFoq4,435
UID1YQie-M8,435
re51hMix8c4,435
ReJM3mqDSfw,433
qTq9lYphz9g,432
qn1gHFsrdRA,430
EHIg6N21rak,429
J-FLORGDGl4,429
STDycOxF528,429
Hyvshunw9b8,427
5k9ElM6Makg,424
BJ4IGiodGtU,424
H7oSfMGQh4U,423
49351Hh-k4Y,422
A5owvmEVCEU,421
wXXgaF_tUFk,421
ScD39SZvPI8,420
SwR6BLLRXBE,420
lR5kBlP-ee4,416
rY-RVP9r7SA,416
9GAnNC4cIEc,415
Js6ctTbi7XQ,415
0104VRD5Qhk,414
v8nIp40Q574,413
U4BzAdwUfJA,412
URyL0RPo5Lg,412
eJdPgTYR4X0,412
wAhu0g_4RQQ,410
9mx2i-4Mi7c,409
P9eMvXBXtFE,408
xqxgoW4Gl4g,408
Ix3SrxFyj_g,407
TbNzrQQUxqI,404
ecNLcNBwajc,404
cmUrsAamBaU,403
nXzBicioJGw,403
0cF-J1M2eIs,401
TFxl5fV47E4,401
QqkR7SXUhGE,399
A7stFNp1J7E,398
JbHZ9YJIN1Q,397
svjHNMZZFFM,396
JJ6HSnZaQdY,394
0qWhYM3MRtI,393
gSf6AU8CWsk,392
INy8qAIu7Nw,391
2S8GeNmbRsk,390
sB_JZLp521g,390
_A-tPnOaxbE,389
iyoRHDkJKlo,389
hkIJCzc9nQ8,388
oMWu7YqVP1E,388
7jty5PGLsqI,386
FpAR8TI_Nv4,386
JY6pw4rkF58,386
I4r6CwSWZnw,384
gGomn8nCABE,384
gNUWbqZzvSc,384
podzU99AI9U,384
DmCmAUlwhCI,383
ex_a8L7rwXg,383
cVpS4qbMlN0,382
dvUYZDNjd1o,382
zc9pV2bimAo,382
lz53nunjNB8,381
q1Vc2PexUCw,380
D26v0zq9-vA,379
FB03ZSJeOF8,378
0SKg5O13010,377
uJHFcu1dwdo,377
8QzG0cepFh8,376
Dt26v5geni8,376
DtmZjFBMU90,376
QIWohtuFVUM,376
XBTmE1OrZJU,376
iT0wfFhTd_Y,375
ytJA8fwP728,375
VgSlln21v3U,374
_SIMLVezH48,374
Ii6QGLsF0tI,373
VCPBNZwFBf0,373
y9D6js1spoQ,373
51iSwav2tLg,371
CBjsvW1j1WI,371
qESynVZaUV8,371
I6f5PX1qrVE,370
oYgmuEhTrpo,370
qmWrMnvnoLI,370
vfdNQWn-VRM,370
2ZJwbfNxCys,369
4fim1m8WyXA,368
CDFGxdfJfo8,368
nqIJ1zkdStE,368
1kVGb9eOeOk,367
OwpaDQJ3eu8,367
RR5YLzJaUVE,367
wD15tbVNpZs,367
an0l0osfNF0,366
eJo2geFQs9Y,366
avbaXEy7CS0,365
fez7X_oevNs,365
4F0_y1aA88E,362
jaVxD7s4_tA,362
JFcBuVbwrQc,361
hLG0tvZ7hi0,361
lcpoOF7Rm9g,360
lq8xQvwxT_A,360
Km2LWRN2UDY,359
YahcbETUvDM,359
aJkTiTKhoB8,359
bElUcseNoiY,359
efocPrJ4C0c,359
1dOmwcm8VGU,358
90B0ESnhi0Q,358
EjF_V1VKfTM,358
FGqLMIDCMrg,357
M_9CuCnA8oc,357
1iUEUe4ecAc,356
cmkA6k8mASY,355
sdGfv8-bYvQ,355
-hSv4_VFrcU,354
JZXlfsjBKZw,354
KlRefrYnHEc,354
gzbC-EUWV2U,354
x2DNUUlGxek,354
AIoJNh6LZxk,353
sOQC686WwAc,353
aTQFwAFkBKs,352
YYT2X9QBxAE,351
0vdXf1iR3PA,350
JoAJ7tj3orI,350
SN0ivA9Zt_w,350
xWEfVbnFtr4,350
RQJUa_KDe_I,349
7c4Mufpj7a4,347
IDbIn-CMM50,347
V_fKayy7AKM,347
YSoORs3C95Y,347
z2iAyVHlmD4,347
UZqC8q6bpl0,346
3PpCv51pGQ4,345
IJNaciK_gBE,343
vtvhFTLso40,343
vxB3ICPeb0o,343
o5Y1VUMxvW8,341
XwVWhLnaMrA,340
r8-R9bwdYgo,340
aXd4AeoB0C4,339
bf8OlmtaB_U,339
zINp_Oki8_4,339
Xo02kRbVDPQ,338
fv6iSyzIAs8,338
okSzGyHFs_4,338
BFWR8tDulD8,337
2AWBfCB82Ms,336
TBdjysnj7Zc,336
Ufc7iNGCn5A,336
g2JIK8iEfuE,336
W7GliiNcuEE,335
_4qJ8tQX0Hg,335
9RDKflRiyMg,334
Wu4LV0qeoKA,334
Fdfk-vwhOaI,333
LO1szAOX5Qw,333
SnRxVzOK_GU,333
8mu7cDxYg58,332
H2meFZBABjE,332
ZTkVaFq-JTA,332
mqOj6nIQz3U,332
rm0rWlBrwBE,331
B3qY_H9X790,330
MGUOZCAMtxg,330
Sut9pcNvTUs,330
YxJBG19HKQM,330
d1B5V0KUFQQ,330
8vRe7n39H8k,329
UL1wUNh8sa0,329
gT1_9rn1QPA,329
0tC9jW6bFC4,328
N5dHFcyRG94,328
bDQFzane7DA,328
NSa5m51lmE4,327
c2MiZ43bpgE,327
jpl1jkuICIo,327
0Z0jpDjqgeo,326
8k3CVb9ctY4,326
LmWy_AgVd4c,326
l-nsPKr5tSM,326
2PVHg1BcKj4,325
2-A6ykI3OmM,324
Vl8kjJw_-zY,323
-rMDALy5i9s,320
ECHM3i0ThkY,320
WHojI9t5XyE,320
3wFj0eqE-Ps,319
7bIraottirg,317
DxXTBC3_DuU,317
XvmPyMDOdsk,317
_PWXBEzNT0k,317
hKSKze0z3yI,317
5CLwNnpNGxc,316
RYg7zRiieuQ,316
tW-z_cn2R0M,316
4iiAwRS7zVI,315
OKycBP_cg8o,315
xffRL1DrxyU,315
KZQuyQEOfQU,314
T_0cXkyvTBg,314
fb_VlpMlBEo,314
sBMF-EOJuhg,314
vd1F1ll4G-o,314
58IDC72K0b4,313
fE4jboxLyIk,313
B7V5N_t9IXE,312
ssyrddCMPvk,312
11UvkqSsTGU,311
BOf6JKIDx5A,311
iAdp0wCtQYk,311
nH9eIEvojgE,311
wKvSYgcD7fc,311
EHdV5z8-JOw,310
Jg9bcEHUew4,310
MuNo6fhuRpk,309
RtBkNuyd2js,309
YudPpUqe-0E,309
kJxf1r7s3g8,309
oRN8Z4MBALw,309
pctUgTHdjMY,308
-32fj9lhNVA,307
-kR7GHh9sDU,306
Jt8UgIdBU4s,306
bDRt1ONVPSQ,306
d2mJiepFbqU,306
dlLed01XjW8,306
Diw2ByfZxMg,305
mqEEFvr9keI,304
KwJcUh_N0QU,303
-7kgbS-voI8,302
5F-hacLVbjM,302
GGvOKyn3WOM,302
xuy7DwUIT2s,301
0bNx9HloeXU,300
GTFc6P0guJ0,300
HXhAwahGJm0,300
NbSNrMRegMU,300
sEd6K2Sm6Ww,300
wrXGNQ2P89g,300
x3ArGiznUDs,300
x6EzzeAeqTM,300
z23IfhESSNg,300
MAgiFrubk4M,299
n4TyfnGlyiY,299
uuDrg6UV9mc,299
4BXtigoFU-k,298
bjuMBlqlOTs,298
l-akpQZD5pk,298
yf4PwFLFRNs,298
JRJgtEo9bJU,297
R5Mrbc757vQ,297
g68EFBToxCc,297
mSR5ycGPlao,297
mVYmlGv1XgM,297
wdOPrHI4BYg,297
1PqWCyfJp84,296
yAvG9YHJMAs,296
600RzTL3mXA,295
lKff3amdVXo,295
mLsTXy0c83k,295
e7bakpWCg-k,294
BW5C66yD_8I,293
KdaHb4Zbdto,293
TqjpjOkvh8M,293
mBaH5r4asNk,293
xw2CWJlAPMk,293
yXKyH4NuqEU,293
3o4oqFCQTvw,292
79H8ILsKYnE,292
UftOZyGaGws,292
nTawc-72cic,292
pQsnnGIO7Q8,292
qlUt1oDlYZY,292
yo1GgYW5aBM,292
iXNXJBCvZ_M,291
wOIPRfadAP8,290
xciOHxRpvl4,290
1ADivsGwJ64,289
994SygqEovU,289
Xz_u92u6eI4,289
wAKdxeZ5p9c,288
f3DH23fioks,287
iuH-BjnUeD8,287
kqcVXLryYAs,287
np6xlLW2JqU,287
rsOmvFt2L18,287
s5C-5mhs2mg,287
CUMDvBHJp3g,286
dUg694fOf2w,286
2MfOIM9M_jc,285
4ItqOl4i9q8,285
AwO-om6UazY,285
C-PDuQrnnhs,285
KwLWdsjIyTE,285
SXeJ5qkfwcU,285
BfklbR-oyCc,284
BrLj12Uejy0,284
aCLXhRgMl4c,284
-2YUuBuMTPw,283
Kgxz3evg51A,283
kObl8pOy8K4,283
r284Hc3R8nQ,283
DktoKYKHQLo,282
XYX1655sy-E,282
CEZQXXX2rUs,281
QzgJXh_pQgI,281
xCkPUQkhRFI,281
2n0zFdQ_5No,280
55pyJLyycYk,280
6WeOW1f87eQ,280
DwSLJYRhZU8,280
UzH7eLdimwE,280
oul6dIkJXh4,280
-tR1h91TSKc,279
PGDCscqi8l8,279
RC1bZPkDHbo,279
NcskWEBDdhk,278
PTttz5EXp9I,278
Pp4PQtu7F7Y,278
_zDT4dSbIsI,278
hjlDQF5OqdI,278
ntu6tymtal8,278
sP5Ccs097XI,278
vGlDEbZvwLI,278
xTeXnwsMtQ4,278
haNCt5zB_-A,277
7qs82ZK2JEQ,276
CFExvBRsGwM,276
JID3ePnNVmY,276
NBmIFTyiGos,276
_0v_beeTfe0,276
zJepmdxrf7Q,276
2URdIcUgW-c,275
CLsrhX1cgpQ,275
N4f3NQVWAU8,275
cbuBOEPoJWM,275
-xGeoN4noLg,274
CIlw30RVmZE,274
Z3inlo36gJU,274
gcyQs550OE8,274
tCY-JZQv2oo,274
W25R7KkBmsM,273
d0eJvUVmH5I,273
qtOdHYp-Fj8,273
V4Gdorzd20w,272
frQbbR2N-TE,272
lBnZYeJoPJY,272
4a40TloDhsA,271
_5eG7JBYhio,271
coOgZY140ao,271
f6NUeaPhXkg,271
mwtdbOBnV5E,271
onCAcM57iB8,271
Kc_aAkVx31U,270
bqlIAHCBNsI,270
e7PzqJAnGyc,270
y6wsfHB9yb8,270
yGLEpVbJm40,270
NZSN1H0Jt-Y,269
hTMCbWWrmWU,269
6ApMW9yr9hI,268
AvR8E2i-FfM,268
m0jySU0Ep98,268
s-3qE6hJi5g,268
v3ocbyKi9jA,268
N2VJm4V_now,267
NL26tPKh1C4,267
ZYhSy3WtWxo,267
ecGjnR3aNvA,267
hpp6r3-KQMg,267
x2nv8H8doio,267
1UEfIWrlp1Y,266
3oFyW9HQpls,266
ZUTvVPBxPC8,266
cmIATzngR3E,266
jbVuMkEKb5g,266
uVQuA4TNgSE,266
E1yrv6ci8yI,265
hYaVleWeLsI,265
7ug32g6_pOw,264
DVnRR13IQYg,264
R2tZvnQxJds,264
VD2InomKiIM,264
W6nlUVMFbNE,264
mhB1yIYkboU,264
wNeIUfsmEro,264
IZBIisiRmWc,263
L1lG_NEtERU,263
JE2r9nTVTGo,262
NPho0I_qfMw,262
aDoNP8OV5LY,262
c0dma8yLJ0I,262
4JGixMDhbNA,261
6ZkuOWvx9Pw,261
WJ9XdVJfUsU,261
uQsy2W-9n2I,261
4Zl0-oPMIDs,260
4bitGAOz0kg,260
AsuguQ3YizQ,260
IgUudijHgY0,260
aok_pE6q76A,260
eKApuCHoLlA,260
i3X8U1HlfKU,260
l4E2zgF74NI,260
ymAqD4tbW3A,260
zBWd5zrTEaY,260
3XmLZqP0Byo,259
4Rp56f6HCXI,259
Koa80XAm6dI,259
LS8TA99YMRc,259
Vr-A7bV5gV8,259
yyqIJ6Mwks4,259
33LftPXEYVI,258
HWVqH0v6Dnc,258
ZMZkpVQBHgU,258
ecFzpICKWtE,258
n3a-6IPTduo,258
IQsi4LzvHhk,257
THHpmFVzDbc,257
kADujQsWO68,257
4QrpN7CtOJg,256
hitbzE_MJNo,256
pke80P-1WII,256
vT8IWrv8AKg,256
TTJZEnHmDEM,255
_95K8uxYLYE,255
vJpu2tqzbzk,255
42wRJHgjOgo,254
HmPGGuWM45A,254
91wPvst25nI,253
KS2lLDb4blk,253
WAvzquoHYms,253
Z5bnfXWGiY0,253
7bFpZ45z1dY,252
DZtANn3Agn0,252
IeYB_Hmsu84,252
Nw1v_gaGhrY,252
Z1XOtt4y8y0,252
gTX7ZKSd8Uc,252
xdYUATH2ZyY,252
z2MjDjnsucw,252
14x01TgnCQg,251
3Muo7SEpRY0,251
DG67736NGOA,251
7l_4dUjU0K0,250
BM6M-LFVEY4,250
